usearch v7.0.1090_i86linux32, 4.0Gb RAM (7.7Gb total), 2 cores
usearch -fastq_stats raw/Leaf1_S23_L001_R1_001.fastq -log Leaf_R1.stats.log 
Started Mon Sep 28 17:03:42 2015

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  301      305966   100.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    G   38  0.00016    53669853    58.3%    58.3%
    F   37  0.00020     9092817     9.9%    68.1%
    E   36  0.00025     2745694     3.0%    71.1%
    D   35  0.00032     1614495     1.8%    72.9%
    C   34  0.00040     4394986     4.8%    77.7%
    B   33  0.00050     1075625     1.2%    78.8%
    A   32  0.00063      664447     0.7%    79.5%
    @   31  0.00079      739682     0.8%    80.3%
    ?   30  0.00100     1275513     1.4%    81.7%
    >   29  0.00126      993039     1.1%    82.8%
    =   28  0.00158      435978     0.5%    83.3%
    <   27  0.00200     1096503     1.2%    84.5%
    ;   26  0.00251      457070     0.5%    85.0%
    :   25  0.00316     1326026     1.4%    86.4%
    9   24  0.00398      841965     0.9%    87.3%
    8   23  0.00501      762248     0.8%    88.2%
    7   22  0.00631      719611     0.8%    88.9%
    6   21  0.00794      659891     0.7%    89.7%
    5   20  0.01000      640688     0.7%    90.3%
    4   19  0.01259      854160     0.9%    91.3%
    3   18  0.01585      592603     0.6%    91.9%
    2   17  0.01995      596593     0.6%    92.6%
    1   16  0.02512      472297     0.5%    93.1%
    0   15  0.03162      534702     0.6%    93.7%
    /   14  0.03981      206177     0.2%    93.9%
    .   13  0.05012      364382     0.4%    94.3%
    -   12  0.06310      355007     0.4%    94.7%
    ,   11  0.07943     1009720     1.1%    95.8%
    +   10  0.10000      517990     0.6%    96.3%
    *    9  0.12589     1056567     1.1%    97.5%
    )    8  0.15849      997989     1.1%    98.6%
    (    7  0.19953     1330975     1.4%   100.0%
    #    2  0.63096         473     0.0%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  33.9   0.0004  0.000442   0.00   0.000836    0.084%
    3   100.0%  34.0   0.0004  0.000421   0.00   0.000697    0.070%
    4   100.0%  34.0   0.0004  0.000445   0.00   0.000634    0.063%
    5   100.0%  34.0   0.0004  0.000432   0.00   0.000594    0.059%
    6   100.0%  37.9  0.00016  0.000187   0.00   0.000526    0.053%
    7   100.0%  37.9  0.00016  0.000203   0.00   0.000480    0.048%
    8   100.0%  37.9  0.00016  0.000208   0.00   0.000446    0.045%
    9   100.0%  37.9  0.00016  0.000176   0.00   0.000416    0.042%
   10   100.0%  37.9  0.00016  0.000191   0.00   0.000393    0.039%
   11   100.0%  38.0  0.00016  0.000177   0.00   0.000374    0.037%
   12   100.0%  37.9  0.00016  0.000197   0.00   0.000359    0.036%
   13   100.0%  37.9  0.00016  0.000216   0.00   0.000348    0.035%
   14   100.0%  37.8  0.00016  0.000258   0.00   0.000342    0.034%
   15   100.0%  37.9  0.00016  0.000193   0.00   0.000332    0.033%
   16   100.0%  37.9  0.00016  0.000242   0.01   0.000326    0.033%
   17   100.0%  37.8  0.00016  0.000212   0.01   0.000319    0.032%
   18   100.0%  37.6  0.00016   0.00046   0.01   0.000327    0.033%
   19   100.0%  37.8  0.00016  0.000253   0.01   0.000323    0.032%
   20   100.0%  37.7  0.00016   0.00035   0.01   0.000325    0.032%
   21   100.0%  37.7  0.00016  0.000369   0.01   0.000327    0.033%
   22   100.0%  37.8  0.00016  0.000231   0.01   0.000322    0.032%
   23   100.0%  37.7  0.00016  0.000241   0.01   0.000319    0.032%
   24   100.0%  37.5  0.00016  0.000322   0.01   0.000319    0.032%
   25   100.0%  37.8  0.00016  0.000233   0.01   0.000316    0.032%
   26   100.0%  37.3   0.0002  0.000375   0.01   0.000318    0.032%
   27   100.0%  37.5  0.00016  0.000322   0.01   0.000318    0.032%
   28   100.0%  37.7  0.00016  0.000262   0.01   0.000316    0.032%
   29   100.0%  37.3   0.0002  0.000961   0.01   0.000338    0.034%
   30   100.0%  36.9   0.0002   0.00149   0.01   0.000377    0.038%
   31   100.0%  37.4   0.0002  0.000528   0.01   0.000382    0.038%
   32   100.0%  37.2   0.0002  0.000773   0.01   0.000394    0.039%
   33   100.0%  37.3   0.0002  0.000768   0.01   0.000405    0.041%
   34   100.0%  37.0   0.0002  0.000813   0.01   0.000417    0.042%
   35   100.0%  37.6  0.00016    0.0003   0.01   0.000414    0.041%
   36   100.0%  37.2   0.0002  0.000606   0.02   0.000419    0.042%
   37   100.0%  37.6  0.00016  0.000362   0.02   0.000418    0.042%
   38   100.0%  37.8  0.00016   0.00031   0.02   0.000415    0.041%
   39   100.0%  37.8  0.00016  0.000306   0.02   0.000412    0.041%
   40   100.0%  37.9  0.00016  0.000238   0.02   0.000408    0.041%
   41   100.0%  37.8  0.00016  0.000309   0.02   0.000405    0.041%
   42   100.0%  37.7  0.00016  0.000358   0.02   0.000404    0.040%
   43   100.0%  37.9  0.00016  0.000234   0.02   0.000400    0.040%
   44   100.0%  37.8  0.00016  0.000245   0.02   0.000397    0.040%
   45   100.0%  37.9  0.00016  0.000266   0.02   0.000394    0.039%
   46   100.0%  37.9  0.00016  0.000259   0.02   0.000391    0.039%
   47   100.0%  37.9  0.00016  0.000288   0.02   0.000389    0.039%
   48   100.0%  37.8  0.00016  0.000264   0.02   0.000386    0.039%
   49   100.0%  37.3   0.0002  0.000774   0.02   0.000394    0.039%
   50   100.0%  37.7  0.00016  0.000352   0.02   0.000393    0.039%
   51   100.0%  37.3   0.0002  0.000997   0.02   0.000405    0.040%
   52   100.0%  37.6  0.00016  0.000299   0.02   0.000403    0.040%
   53   100.0%  37.3   0.0002  0.000645   0.02   0.000407    0.041%
   54   100.0%  37.6  0.00016  0.000349   0.02   0.000406    0.041%
   55   100.0%  37.7  0.00016  0.000334   0.02   0.000405    0.041%
   56   100.0%  37.8  0.00016  0.000251   0.02   0.000402    0.040%
   57   100.0%  37.2   0.0002  0.000771   0.02   0.000409    0.041%
   58   100.0%  37.7  0.00016  0.000273   0.02   0.000406    0.041%
   59   100.0%  37.8  0.00016  0.000333   0.02   0.000405    0.041%
   60   100.0%  37.7  0.00016  0.000393   0.02   0.000405    0.040%
   61   100.0%  37.8  0.00016  0.000304   0.02   0.000403    0.040%
   62   100.0%  37.7  0.00016  0.000383   0.02   0.000403    0.040%
   63   100.0%  37.7  0.00016   0.00037   0.03   0.000402    0.040%
   64   100.0%  37.3   0.0002  0.000758   0.03   0.000408    0.041%
   65   100.0%  37.4   0.0002   0.00054   0.03   0.000410    0.041%
   66   100.0%  37.6  0.00016  0.000372   0.03   0.000409    0.041%
   67   100.0%  37.3   0.0002  0.000764   0.03   0.000415    0.041%
   68   100.0%  37.5  0.00016  0.000555   0.03   0.000417    0.042%
