usearch v7.0.1090_i86linux32, 4.0Gb RAM (7.7Gb total), 2 cores
usearch -fastq_stats raw/Leaf1_S23_L001_R2_001.fastq -log Leaf_R2.stats.log 
Started Mon Sep 28 17:03:58 2015

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  301      305966   100.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    G   38  0.00016    30181619    32.8%    32.8%
    F   37  0.00020     8881241     9.6%    42.4%
    E   36  0.00025     3213056     3.5%    45.9%
    D   35  0.00032     1974231     2.1%    48.0%
    C   34  0.00040     4704758     5.1%    53.2%
    B   33  0.00050     1020739     1.1%    54.3%
    A   32  0.00063      900480     1.0%    55.2%
    @   31  0.00079     1441939     1.6%    56.8%
    ?   30  0.00100      966332     1.0%    57.9%
    >   29  0.00126     1301471     1.4%    59.3%
    =   28  0.00158      749665     0.8%    60.1%
    <   27  0.00200     1196175     1.3%    61.4%
    ;   26  0.00251      645385     0.7%    62.1%
    :   25  0.00316     1624745     1.8%    63.8%
    9   24  0.00398     1312420     1.4%    65.3%
    8   23  0.00501     1208105     1.3%    66.6%
    7   22  0.00631     1227215     1.3%    67.9%
    6   21  0.00794     1349110     1.5%    69.4%
    5   20  0.01000     1066708     1.2%    70.5%
    4   19  0.01259     1795720     1.9%    72.5%
    3   18  0.01585     1125375     1.2%    73.7%
    2   17  0.01995     1299875     1.4%    75.1%
    1   16  0.02512     1068546     1.2%    76.3%
    0   15  0.03162     1357150     1.5%    77.8%
    /   14  0.03981      648319     0.7%    78.5%
    .   13  0.05012     1705346     1.9%    80.3%
    -   12  0.06310     1408376     1.5%    81.8%
    ,   11  0.07943     2463556     2.7%    84.5%
    +   10  0.10000     1137246     1.2%    85.8%
    *    9  0.12589     3000226     3.3%    89.0%
    )    8  0.15849     5055398     5.5%    94.5%
    (    7  0.19953     5062672     5.5%   100.0%
    #    2  0.63096        2567     0.0%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  33.9   0.0004  0.000565   0.00   0.000991    0.099%
    3   100.0%  33.8   0.0004  0.000649   0.00   0.000877    0.088%
    4   100.0%  33.8   0.0004  0.000721   0.00   0.000838    0.084%
    5   100.0%  33.9   0.0004   0.00053   0.00   0.000776    0.078%
    6   100.0%  37.8  0.00016  0.000358   0.00   0.000707    0.071%
    7   100.0%  37.5   0.0002  0.000565   0.00   0.000686    0.069%
    8   100.0%  37.7  0.00016  0.000428   0.01   0.000654    0.065%
    9   100.0%  35.8  0.00025   0.00401   0.01   0.001027    0.103%
   10   100.0%  36.9   0.0002   0.00133   0.01   0.001057    0.106%
   11   100.0%  37.0   0.0002  0.000876   0.01   0.001040    0.104%
   12   100.0%  37.4   0.0002  0.000767   0.01   0.001018    0.102%
   13   100.0%  37.4   0.0002  0.000672   0.01   0.000991    0.099%
   14   100.0%  37.2   0.0002  0.000754   0.01   0.000974    0.097%
   15   100.0%  37.1   0.0002   0.00103   0.01   0.000978    0.098%
   16   100.0%  36.7   0.0002   0.00211   0.02   0.001048    0.105%
   17   100.0%  37.1   0.0002  0.000924   0.02   0.001041    0.104%
   18   100.0%  36.7   0.0002   0.00204   0.02   0.001096    0.110%
   19   100.0%  37.3   0.0002  0.000785   0.02   0.001080    0.108%
   20   100.0%  37.4   0.0002  0.000566   0.02   0.001054    0.105%
   21   100.0%  36.1  0.00025   0.00291   0.02   0.001143    0.114%
   22   100.0%  35.6  0.00025   0.00283   0.03   0.001220    0.122%
   23   100.0%  36.5   0.0002   0.00104   0.03   0.001212    0.121%
   24   100.0%  35.4  0.00032    0.0023   0.03   0.001257    0.126%
   25   100.0%  36.2  0.00025   0.00201   0.03   0.001288    0.129%
   26   100.0%  36.5  0.00025   0.00174   0.03   0.001305    0.130%
   27   100.0%  36.5   0.0002   0.00191   0.04   0.001327    0.133%
   28   100.0%  37.2   0.0002  0.000685   0.04   0.001304    0.130%
   29   100.0%  37.3   0.0002  0.000827   0.04   0.001288    0.129%
   30   100.0%  37.2   0.0002  0.000941   0.04   0.001276    0.128%
   31   100.0%  37.2   0.0002  0.000828   0.04   0.001262    0.126%
   32   100.0%  36.9   0.0002  0.000972   0.04   0.001253    0.125%
   33   100.0%  36.4  0.00025   0.00148   0.04   0.001260    0.126%
   34   100.0%  36.7   0.0002    0.0012   0.04   0.001258    0.126%
   35   100.0%  36.4  0.00025   0.00145   0.04   0.001263    0.126%
   36   100.0%  37.0   0.0002  0.000819   0.05   0.001251    0.125%
   37   100.0%  35.4  0.00032   0.00329   0.05   0.001306    0.131%
   38   100.0%  36.6   0.0002   0.00163   0.05   0.001315    0.131%
   39   100.0%  36.5  0.00025   0.00206   0.05   0.001334    0.133%
   40   100.0%  37.0   0.0002   0.00125   0.05   0.001331    0.133%
   41   100.0%  36.3  0.00025   0.00245   0.06   0.001359    0.136%
   42   100.0%  35.6  0.00025   0.00365   0.06   0.001413    0.141%
   43   100.0%  36.6   0.0002   0.00148   0.06   0.001415    0.141%
   44   100.0%  37.1   0.0002   0.00101   0.06   0.001406    0.141%
   45   100.0%  36.4  0.00025   0.00101   0.06   0.001397    0.140%
   46   100.0%  35.7  0.00025   0.00168   0.06   0.001403    0.140%
   47   100.0%  36.2  0.00025   0.00165   0.07   0.001408    0.141%
   48   100.0%  36.2  0.00025   0.00218   0.07   0.001424    0.142%
   49   100.0%  37.1   0.0002  0.000967   0.07   0.001415    0.142%
   50   100.0%  36.3  0.00025   0.00257   0.07   0.001438    0.144%
   51   100.0%  36.4  0.00025   0.00146   0.07   0.001439    0.144%
   52   100.0%  34.8  0.00032   0.00292   0.08   0.001467    0.147%
   53   100.0%  36.5   0.0002   0.00131   0.08   0.001464    0.146%
   54   100.0%  35.8  0.00025   0.00234   0.08   0.001480    0.148%
   55   100.0%  36.2  0.00025   0.00241   0.08   0.001497    0.150%
   56   100.0%  36.4  0.00025   0.00207   0.08   0.001507    0.151%
   57   100.0%  36.1  0.00025   0.00252   0.09   0.001525    0.153%
   58   100.0%  36.0  0.00025   0.00299   0.09   0.001550    0.155%
   59   100.0%  35.7  0.00025   0.00309   0.09   0.001577    0.158%
   60   100.0%  36.0  0.00025   0.00278   0.10   0.001597    0.160%
   61   100.0%  36.0  0.00025   0.00281   0.10   0.001617    0.162%
   62   100.0%  36.0  0.00025   0.00301   0.10   0.001639    0.164%
   63   100.0%  35.9  0.00025   0.00304   0.10   0.001661    0.166%
   64   100.0%  36.0  0.00025   0.00288   0.11   0.001680    0.168%
   65   100.0%  34.9  0.00032   0.00397   0.11   0.001716    0.172%
   66   100.0%  34.9  0.00032   0.00407   0.12   0.001751    0.175%
   67   100.0%  35.7  0.00025   0.00349   0.12   0.001777    0.178%
   68   100.0%  36.0  0.00025   0.00262   0.12   0.001789    0.179%
   69   100.0%  35.7  0.00025   0.00358   0.13   0.001815    0.182%
   70   100.0%  35.9  0.00025   0.00305   0.13   0.001833    0.183%
   71   100.0%  35.8  0.00025   0.00349   0.13   0.001856    0.186%
   72   100.0%  35.4  0.00032   0.00395   0.14   0.001885    0.189%
   73   100.0%  35.9  0.00025   0.00325   0.14   0.001904    0.190%
   74   100.0%  35.8  0.00025   0.00341   0.14   0.001925    0.192%
   75   100.0%  35.8  0.00025   0.00321   0.15   0.001942    0.194%
   76   100.0%  35.7  0.00025   0.00339   0.15   0.001961    0.196%
   77   100.0%  36.1  0.00025   0.00275   0.15   0.001971    0.197%
   78   100.0%  35.7  0.00025   0.00364   0.16   0.001992    0.199%
   79   100.0%  36.0  0.00025   0.00261   0.16   0.002000    0.200%
   80   100.0%  35.8  0.00025   0.00326   0.16   0.002016    0.202%
   81   100.0%  36.0  0.00025   0.00304   0.16   0.002028    0.203%
   82   100.0%  35.7  0.00025   0.00346   0.17   0.002046    0.205%
   83   100.0%  35.9  0.00025   0.00306   0.17   0.002058    0.206%
   84   100.0%  35.9  0.00025   0.00303   0.17   0.002070    0.207%
   85   100.0%  35.3  0.00032   0.00413   0.18   0.002094    0.209%
   86   100.0%  35.8  0.00025   0.00317   0.18   0.002106    0.211%
   87   100.0%  35.6  0.00025   0.00349   0.18   0.002122    0.212%
   88   100.0%  35.6  0.00025   0.00339   0.19   0.002137    0.214%
   89   100.0%  35.8  0.00025   0.00314   0.19   0.002148    0.215%
   90   100.0%  35.5  0.00032   0.00376   0.19   0.002166    0.217%
   91   100.0%  35.7  0.00025   0.00354   0.20   0.002181    0.218%
   92   100.0%  35.3  0.00032   0.00435   0.20   0.002204    0.220%
   93   100.0%  35.3  0.00032   0.00386   0.21   0.002222    0.222%
   94   100.0%  35.4  0.00032     0.004   0.21   0.002241    0.224%
   95   100.0%  35.2  0.00032   0.00436   0.22   0.002263    0.226%
   96   100.0%  35.7  0.00025    0.0033   0.22   0.002274    0.227%
   97   100.0%  35.3  0.00032   0.00436   0.22   0.002296    0.230%
   98   100.0%  35.6  0.00025   0.00374   0.23   0.002311    0.231%
   99   100.0%  35.2  0.00032   0.00458   0.23   0.002333    0.233%
  100   100.0%  35.0  0.00032   0.00462   0.24   0.002356    0.236%
  101   100.0%  34.7  0.00032   0.00431   0.24   0.002376    0.238%
  102   100.0%  35.1  0.00032   0.00393   0.24   0.002391    0.239%
  103   100.0%  34.6  0.00032    0.0052   0.25   0.002418    0.242%
  104   100.0%  35.1  0.00032   0.00436   0.25   0.002437    0.244%
  105   100.0%  35.3  0.00032    0.0038   0.26   0.002450    0.245%
  106   100.0%  35.0  0.00032   0.00463   0.26   0.002470    0.247%
  107   100.0%  35.2  0.00032   0.00413   0.27   0.002486    0.249%
  108   100.0%  34.7  0.00032   0.00507   0.27   0.002510    0.251%
  109   100.0%  34.9  0.00032   0.00465   0.28   0.002530    0.253%
  110   100.0%  35.1  0.00032   0.00455   0.28   0.002548    0.255%
  111   100.0%  35.0  0.00032   0.00468   0.28   0.002567    0.257%
  112   100.0%  34.5  0.00032   0.00567   0.29   0.002595    0.259%
  113   100.0%  34.7  0.00032   0.00526   0.30   0.002618    0.262%
  114   100.0%  34.7  0.00032   0.00475   0.30   0.002637    0.264%
  115   100.0%  35.2  0.00032   0.00424   0.30   0.002651    0.265%
  116   100.0%  34.7  0.00032   0.00499   0.31   0.002671    0.267%
  117   100.0%  34.3   0.0004   0.00564   0.32   0.002697    0.270%
  118   100.0%  34.4   0.0004   0.00482   0.32   0.002715    0.271%
  119   100.0%  34.0   0.0004   0.00592   0.33   0.002742    0.274%
  120   100.0%  33.4   0.0005   0.00711   0.33   0.002778    0.278%
  121   100.0%  33.3   0.0005   0.00782   0.34   0.002820    0.282%
  122   100.0%  33.7   0.0004   0.00717   0.35   0.002855    0.286%
  123   100.0%  34.1   0.0004   0.00582   0.35   0.002879    0.288%
  124   100.0%  34.4   0.0004   0.00512   0.36   0.002898    0.290%
  125   100.0%  34.7  0.00032   0.00517   0.36   0.002916    0.292%
  126   100.0%  35.0  0.00032   0.00459   0.37   0.002929    0.293%
  127   100.0%  34.5  0.00032   0.00514   0.37   0.002946    0.295%
  128   100.0%  34.3   0.0004   0.00607   0.38   0.002971    0.297%
  129   100.0%  34.0   0.0004   0.00576   0.39   0.002992    0.299%
  130   100.0%  34.5   0.0004   0.00484   0.39   0.003007    0.301%
  131   100.0%  33.9   0.0004   0.00585   0.40   0.003028    0.303%
  132   100.0%  33.8   0.0004   0.00726   0.40   0.003060    0.306%
