usearch v7.0.1090_i86linux32, 4.0Gb RAM (7.7Gb total), 2 cores
usearch -fastq_stats raw/Rhizophere10_S20_L001_R1_001.fastq -log Rh10_R1.stats.log 
Started Mon Sep 28 17:04:50 2015

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  301       32049   100.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    G   38  0.00016     3603587    37.4%    37.4%
    F   37  0.00020     1002283    10.4%    47.7%
    E   36  0.00025      394691     4.1%    51.8%
    D   35  0.00032      194032     2.0%    53.8%
    C   34  0.00040      660755     6.8%    60.7%
    B   33  0.00050       91406     0.9%    61.6%
    A   32  0.00063       97608     1.0%    62.7%
    @   31  0.00079      163901     1.7%    64.4%
    ?   30  0.00100      104392     1.1%    65.4%
    >   29  0.00126      117066     1.2%    66.7%
    =   28  0.00158       84052     0.9%    67.5%
    <   27  0.00200      186879     1.9%    69.5%
    ;   26  0.00251       71311     0.7%    70.2%
    :   25  0.00316      202093     2.1%    72.3%
    9   24  0.00398      145732     1.5%    73.8%
    8   23  0.00501      136891     1.4%    75.2%
    7   22  0.00631      149639     1.6%    76.8%
    6   21  0.00794       97877     1.0%    77.8%
    5   20  0.01000      122146     1.3%    79.1%
    4   19  0.01259      103576     1.1%    80.1%
    3   18  0.01585      105911     1.1%    81.2%
    2   17  0.01995      104047     1.1%    82.3%
    1   16  0.02512       81579     0.8%    83.2%
    0   15  0.03162       81419     0.8%    84.0%
    /   14  0.03981       67078     0.7%    84.7%
    .   13  0.05012       61386     0.6%    85.3%
    -   12  0.06310       47893     0.5%    85.8%
    ,   11  0.07943      376259     3.9%    89.7%
    +   10  0.10000      245403     2.5%    92.3%
    *    9  0.12589      379867     3.9%    96.2%
    )    8  0.15849      225130     2.3%    98.5%
    (    7  0.19953      140860     1.5%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  33.8   0.0004   0.00057   0.00   0.001813    0.181%
    3   100.0%  33.8   0.0004  0.000516   0.00   0.001381    0.138%
    4   100.0%  33.9   0.0004  0.000484   0.00   0.001157    0.116%
    5   100.0%  33.9   0.0004  0.000489   0.01   0.001023    0.102%
    6   100.0%  37.8  0.00016  0.000218   0.01   0.000889    0.089%
    7   100.0%  37.7  0.00016  0.000261   0.01   0.000799    0.080%
    8   100.0%  37.6  0.00016  0.000404   0.01   0.000750    0.075%
    9   100.0%  37.7  0.00016  0.000286   0.01   0.000698    0.070%
   10   100.0%  37.7  0.00016  0.000278   0.01   0.000656    0.066%
   11   100.0%  37.8  0.00016  0.000225   0.01   0.000617    0.062%
   12   100.0%  37.8  0.00016  0.000297   0.01   0.000590    0.059%
   13   100.0%  37.6  0.00016  0.000341   0.01   0.000571    0.057%
   14   100.0%  37.8  0.00016  0.000232   0.01   0.000547    0.055%
   15   100.0%  37.7  0.00016  0.000292   0.01   0.000530    0.053%
   16   100.0%  37.7  0.00016  0.000393   0.01   0.000521    0.052%
   17   100.0%  37.6  0.00016  0.000373   0.01   0.000513    0.051%
   18   100.0%  36.9   0.0002   0.00135   0.01   0.000559    0.056%
   19   100.0%  37.3   0.0002  0.000544   0.01   0.000558    0.056%
   20   100.0%  37.2   0.0002  0.000681   0.01   0.000565    0.056%
   21   100.0%  36.9   0.0002   0.00142   0.01   0.000605    0.061%
   22   100.0%  37.0   0.0002   0.00127   0.01   0.000636    0.064%
   23   100.0%  37.4   0.0002  0.000444   0.01   0.000627    0.063%
   24   100.0%  37.3   0.0002   0.00057   0.01   0.000625    0.062%
   25   100.0%  37.5   0.0002  0.000396   0.02   0.000616    0.062%
   26   100.0%  36.9   0.0002  0.000801   0.02   0.000623    0.062%
   27   100.0%  36.5   0.0002   0.00173   0.02   0.000664    0.066%
   28   100.0%  37.1   0.0002  0.000522   0.02   0.000659    0.066%
   29   100.0%  35.2  0.00032    0.0043   0.02   0.000784    0.078%
   30   100.0%  35.8  0.00025   0.00345   0.03   0.000873    0.087%
   31   100.0%  36.8   0.0002   0.00103   0.03   0.000878    0.088%
   32   100.0%  35.3  0.00032   0.00451   0.03   0.000992    0.099%
   33   100.0%  34.8  0.00032   0.00573   0.04   0.001135    0.114%
   34   100.0%  36.3  0.00025   0.00175   0.04   0.001153    0.115%
   35   100.0%  37.3   0.0002  0.000424   0.04   0.001132    0.113%
   36   100.0%  36.3  0.00025   0.00159   0.04   0.001145    0.114%
   37   100.0%  37.3   0.0002  0.000467   0.04   0.001127    0.113%
   38   100.0%  37.5   0.0002  0.000443   0.04   0.001109    0.111%
   39   100.0%  37.5   0.0002  0.000561   0.04   0.001095    0.109%
   40   100.0%  37.3   0.0002  0.000763   0.04   0.001086    0.109%
   41   100.0%  37.0   0.0002   0.00132   0.04   0.001092    0.109%
   42   100.0%  37.2   0.0002  0.000609   0.05   0.001080    0.108%
   43   100.0%  37.5   0.0002  0.000467   0.05   0.001066    0.107%
   44   100.0%  37.5   0.0002  0.000489   0.05   0.001053    0.105%
   45   100.0%  37.4   0.0002  0.000635   0.05   0.001044    0.104%
   46   100.0%  37.2   0.0002  0.000886   0.05   0.001040    0.104%
   47   100.0%  36.9   0.0002   0.00149   0.05   0.001050    0.105%
   48   100.0%  36.5  0.00025   0.00211   0.05   0.001072    0.107%
   49   100.0%  35.3  0.00032   0.00423   0.06   0.001136    0.114%
   50   100.0%  36.5   0.0002   0.00204   0.06   0.001155    0.115%
   51   100.0%  35.0  0.00032   0.00518   0.06   0.001233    0.123%
   52   100.0%  36.6   0.0002   0.00142   0.06   0.001237    0.124%
   53   100.0%  35.7  0.00025   0.00334   0.07   0.001277    0.128%
   54   100.0%  36.3  0.00025   0.00208   0.07   0.001292    0.129%
   55   100.0%  36.7   0.0002   0.00158   0.07   0.001297    0.130%
   56   100.0%  36.6   0.0002     0.002   0.07   0.001309    0.131%
   57   100.0%  34.6  0.00032    0.0056   0.08   0.001385    0.138%
   58   100.0%  36.3  0.00025   0.00221   0.08   0.001399    0.140%
   59   100.0%  36.5   0.0002    0.0021   0.08   0.001411    0.141%
   60   100.0%  35.9  0.00025   0.00326   0.09   0.001442    0.144%
   61   100.0%  36.6   0.0002   0.00214   0.09   0.001453    0.145%
   62   100.0%  36.2  0.00025   0.00235   0.09   0.001468    0.147%
   63   100.0%  36.3  0.00025   0.00236   0.09   0.001482    0.148%
   64   100.0%  34.9  0.00032   0.00499   0.10   0.001537    0.154%
   65   100.0%  35.6  0.00025   0.00331   0.10   0.001564    0.156%
   66   100.0%  36.1  0.00025   0.00269   0.10   0.001581    0.158%
   67   100.0%  35.9  0.00025   0.00333   0.11   0.001607    0.161%
   68   100.0%  36.1  0.00025   0.00333   0.11   0.001632    0.163%
   69   100.0%  36.2  0.00025   0.00296   0.11   0.001652    0.165%
   70   100.0%  35.8  0.00025   0.00283   0.12   0.001669    0.167%
   71   100.0%  36.5  0.00025   0.00196   0.12   0.001673    0.167%
   72   100.0%  36.5   0.0002   0.00217   0.12   0.001680    0.168%
   73   100.0%  36.5   0.0002    0.0016   0.12   0.001678    0.168%
   74   100.0%  36.0  0.00025   0.00272   0.13   0.001693    0.169%
   75   100.0%  36.0  0.00025   0.00265   0.13   0.001705    0.171%
   76   100.0%  36.2  0.00025   0.00181   0.13   0.001707    0.171%
   77   100.0%  33.6   0.0004   0.00723   0.14   0.001778    0.178%
   78   100.0%  33.5   0.0005   0.00882   0.15   0.001869    0.187%
   79   100.0%  35.2  0.00032   0.00417   0.15   0.001898    0.190%
   80   100.0%  35.4  0.00032   0.00417   0.15   0.001926    0.193%
   81   100.0%  35.5  0.00025   0.00244   0.16   0.001932    0.193%
   82   100.0%  36.3  0.00025   0.00167   0.16   0.001929    0.193%
   83   100.0%  35.7  0.00025   0.00286   0.16   0.001941    0.194%
   84   100.0%  36.0  0.00025   0.00266   0.16   0.001949    0.195%
   85   100.0%  34.8  0.00032   0.00503   0.17   0.001985    0.199%
   86   100.0%  35.5  0.00025   0.00367   0.17   0.002005    0.200%
   87   100.0%  33.1   0.0005   0.00944   0.18   0.002090    0.209%
