usearch v7.0.1090_i86linux32, 4.0Gb RAM (7.7Gb total), 2 cores
usearch -fastq_stats raw/Rhizophere10_S20_L001_R2_001.fastq -log Rh10_R2.stats.log 
Started Mon Sep 28 17:04:39 2015

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  301       32049   100.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    G   38  0.00016     2748526    28.5%    28.5%
    F   37  0.00020      819352     8.5%    37.0%
    E   36  0.00025      345086     3.6%    40.6%
    D   35  0.00032      210206     2.2%    42.7%
    C   34  0.00040      516071     5.3%    48.1%
    B   33  0.00050       94049     1.0%    49.1%
    A   32  0.00063       98699     1.0%    50.1%
    @   31  0.00079      173925     1.8%    51.9%
    ?   30  0.00100       92717     1.0%    52.9%
    >   29  0.00126      123633     1.3%    54.1%
    =   28  0.00158      103066     1.1%    55.2%
    <   27  0.00200      121342     1.3%    56.5%
    ;   26  0.00251       96106     1.0%    57.5%
    :   25  0.00316      162178     1.7%    59.1%
    9   24  0.00398      154381     1.6%    60.7%
    8   23  0.00501      146278     1.5%    62.3%
    7   22  0.00631      136588     1.4%    63.7%
    6   21  0.00794      147315     1.5%    65.2%
    5   20  0.01000      133374     1.4%    66.6%
    4   19  0.01259      180334     1.9%    68.5%
    3   18  0.01585      131004     1.4%    69.8%
    2   17  0.01995      104881     1.1%    70.9%
    1   16  0.02512      112337     1.2%    72.1%
    0   15  0.03162      126828     1.3%    73.4%
    /   14  0.03981       81999     0.9%    74.2%
    .   13  0.05012      175809     1.8%    76.0%
    -   12  0.06310      169551     1.8%    77.8%
    ,   11  0.07943      417067     4.3%    82.1%
    +   10  0.10000      186524     1.9%    84.1%
    *    9  0.12589      337451     3.5%    87.6%
    )    8  0.15849      542065     5.6%    93.2%
    (    7  0.19953      658007     6.8%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  32.7   0.0005   0.00267   0.01   0.004330    0.433%
    3   100.0%  33.6   0.0004  0.000897   0.01   0.003186    0.319%
    4   100.0%  33.2   0.0005   0.00198   0.01   0.002884    0.288%
    5   100.0%  33.6   0.0004   0.00115   0.01   0.002536    0.254%
    6   100.0%  37.7  0.00016  0.000593   0.01   0.002212    0.221%
    7   100.0%  36.9   0.0002   0.00113   0.01   0.002058    0.206%
    8   100.0%  37.3   0.0002  0.000874   0.02   0.001910    0.191%
    9   100.0%  35.3  0.00032   0.00687   0.02   0.002461    0.246%
   10   100.0%  36.3  0.00025   0.00241   0.02   0.002456    0.246%
   11   100.0%  36.5   0.0002   0.00133   0.03   0.002354    0.235%
   12   100.0%  36.5   0.0002   0.00258   0.03   0.002373    0.237%
   13   100.0%  36.7   0.0002   0.00134   0.03   0.002293    0.229%
   14   100.0%  37.0   0.0002   0.00105   0.03   0.002204    0.220%
   15   100.0%  37.0   0.0002   0.00124   0.03   0.002140    0.214%
   16   100.0%  35.7  0.00025   0.00488   0.04   0.002311    0.231%
   17   100.0%  36.7   0.0002   0.00124   0.04   0.002248    0.225%
   18   100.0%  35.9  0.00025   0.00437   0.04   0.002366    0.237%
   19   100.0%  37.1   0.0002   0.00106   0.04   0.002297    0.230%
   20   100.0%  37.3   0.0002  0.000798   0.04   0.002222    0.222%
   21   100.0%  35.3  0.00032   0.00579   0.05   0.002392    0.239%
   22   100.0%  34.1   0.0004   0.00652   0.06   0.002580    0.258%
   23   100.0%  35.5  0.00025   0.00188   0.06   0.002549    0.255%
   24   100.0%  35.7  0.00025   0.00187   0.06   0.002521    0.252%
   25   100.0%  35.6  0.00025   0.00245   0.06   0.002518    0.252%
   26   100.0%  32.5  0.00063   0.00661   0.07   0.002675    0.268%
   27   100.0%  34.9  0.00032   0.00589   0.08   0.002795    0.279%
   28   100.0%  36.2  0.00025   0.00129   0.08   0.002741    0.274%
